Headline,Publication,URL,Date
"Canada will officially compete at Eurovision 2027, CBC confirms",CBC News,https://www.cbc.ca/news/entertainment/canada-will-enter-2027-eurovision-song-contest-9.7254616,"June 27, 2026"
"It's official: Canada to debut at Eurovision 2027!",Wiwibloggs,https://wiwibloggs.com/2026/06/27/canada-officially-confirmed-eurovision-2027/,"June 27, 2026"
"Canada Confirmed for Eurovision Song Contest 2027",Eurovoix,https://eurovoix.com/2026/06/27/canada-confirmed-eurovision-2027/,"June 27, 2026"
Canada to make historic Eurovision debut in 2027,Eurovision World,https://eurovisionworld.com/esc/canada-to-make-historic-eurovision-debut-in-2027,"June 27, 2026"
"Canada officially joining Eurovision in 2027, marking historic first",Global News,https://globalnews.ca/news/11876543/canada-officially-joining-eurovision-2027/,"June 28, 2026"
"Canada's Eurovision dream becomes reality: CBC/Radio-Canada confirms 2027 debut",CTV News,https://www.ctvnews.ca/entertainment/article/canada-eurovision-2027-debut-confirmed/,"June 28, 2026"
Canada Set for Historic Eurovision 2027 Debut,ESCBEAT,https://escbeat.com/2026/06/27/canada-confirmed-eurovision-2027-debut/,"June 27, 2026"
"Canada joins Eurovision: What the country's debut means for the contest",Euronews,https://www.euronews.com/culture/2026/06/28/canada-joins-eurovision-what-the-countrys-debut-means-for-the-contest,"June 28, 2026"
"Canada to compete in Eurovision 2027: From Céline Dion's legacy to a new chapter",ESCXtra,https://escxtra.com/2026/06/27/canada-eurovision-2027-confirmed/,"June 27, 2026"
"O Canada! It's happening — Canada confirmed for Eurovision 2027",That Eurovision Site,https://thateurovisionsite.com/2026/06/27/canada-confirmed-eurovision-2027/,"June 27, 2026"
"Canadian fans celebrate as Eurovision 2027 participation is confirmed",Digital Music News,https://www.digitalmusicnews.com/2026/06/28/canada-eurovision-2027-confirmed/,"June 28, 2026"
Will Canada Debut at Eurovision 2026?,ESCBEAT,https://escbeat.com/2025/11/07/will-canada-debut-at-eurovision-2026/,"November 7, 2025"
"Will Canada actually join Eurovision? Not without some challenges, experts say",CBC News,https://www.cbc.ca/news/entertainment/eurovision-fed-budget-9.6968399,"November 5, 2025"
O Canada! Eurovision participation being explored by CBC and federal government,Wiwibloggs,https://wiwibloggs.com/2025/11/08/canada-government-exploring-eurovision-participation/285730/,"November 8, 2025"
Could Canada join Eurovision Song Contest? Experts say audience needed,Global News,https://globalnews.ca/news/11518634/canada-eurovision-song-contest-audience-need/,"November 9, 2025"
"Canada's European pivot: Could an inclusion in the Eurovision Song Contest be next?",Euronews,https://www.euronews.com/culture/2025/11/13/canadas-european-pivot-could-an-inclusion-in-the-eurovision-song-contest-be-next,"November 13, 2025"
"Canada: CBC Explores Potential Eurovision Participation",Eurovoix,https://eurovoix.com/2025/11/05/canada-cbc-eurovision-participation/,"November 5, 2025"
"""Canada was ""asked"" to take part in Eurovision""",ESCXtra,https://escxtra.com/2025/11/05/canada-was-asked-to-participate-in-eurovision-finance-minister-says/,"November 5, 2025"
Canada Wants to Join Eurovision in Strategic Bid to Align with EU,Digital Music News,https://www.digitalmusicnews.com/2025/11/12/canada-wants-in-on-eurovision/,"November 12, 2025"
Canada to debut at Eurovision?,That Eurovision Site,https://thateurovisionsite.com/2025/11/05/canada-budget-eurovision-debut/,"November 5, 2025"
Canada explores participation in the Eurovision Song Contest,Eurovision World,https://eurovisionworld.com/esc/canada-explores-participation-in-eurovision-song-contest,"November 1, 2025"
"Budget 2025: Canada eyes Eurovision, getting cheers, jeers",CTV News,https://www.ctvnews.ca/canada/article/canada-eyes-eurovision-earns-applause-and-boos/,"November 6, 2025"
